Gene Name,Canonical Transcript,GeVIR %,LOEUF %,VIRLoF %,GeVIR AD,LOEUF AD,VIRLoF AD,GeVIR AR,LOEUF AR,VIRLoF AR
CACYBP,ENST00000367679,8.07,17.32,10.26,2.57,1.61,2.21,0.43,0.75,0.42
RPS27A,ENST00000272317,8.08,18.74,11.05,2.57,1.52,2.2,0.43,0.74,0.45
KCNH2,ENST00000262186,8.08,11.85,7.33,2.56,2.09,2.81,0.43,0.58,0.34
LIN52,ENST00000555028,8.09,16.65,9.91,2.56,1.72,2.29,0.43,0.71,0.41
FGF10,ENST00000264664,8.09,16.66,9.94,2.56,1.72,2.29,0.43,0.71,0.42
PHF1,ENST00000374516,8.1,6.41,4.57,2.56,2.64,3.7,0.43,0.37,0.25
XRCC6,ENST00000359308,8.1,7.28,4.97,2.56,2.58,3.69,0.43,0.37,0.25
BAI2,ENST00000373658,8.11,8.96,5.79,2.56,2.44,3.33,0.43,0.47,0.28
BANF1,ENST00000312175,8.11,57.2,30.89,2.56,0.56,0.8,0.43,1.49,1.49
ITGB1,ENST00000396033,8.12,8.01,5.38,2.56,2.54,3.5,0.43,0.44,0.25
LRRTM4,ENST00000409093,8.12,24.75,14.15,2.57,1.32,1.99,0.43,1.05,0.6
TRPC5,ENST00000262839,8.13,4.02,3.5,2.57,3.26,3.84,0.43,0.32,0.23
C1QL3,ENST00000298943,8.13,40.64,22.58,2.57,0.63,1.18,0.43,1.77,0.96
UBR3,ENST00000418381,8.14,1.71,2.53,2.57,3.85,4.02,0.43,0.26,0.23
HRH2,ENST00000377291,8.15,44.49,24.38,2.57,0.63,1.08,0.42,1.98,1.07
DCAF8,ENST00000556710,8.15,10.93,6.91,2.57,2.1,2.88,0.42,0.51,0.33
AHCYL2,ENST00000325006,8.16,11.95,7.43,2.57,2.09,2.8,0.42,0.59,0.34
HECW2,ENST00000260983,8.16,9.6,6.14,2.57,2.48,3.21,0.42,0.5,0.3
IL1RAPL1,ENST00000378993,8.17,6.13,4.42,2.57,2.73,3.72,0.42,0.35,0.25
ST4,ENST00000394334,8.17,26.98,15.33,2.56,1.23,1.8,0.43,1.11,0.66
ORC2,ENST00000215862,8.18,6.3,4.51,2.56,2.69,3.7,0.43,0.36,0.25
RUNX3,ENST00000399916,8.18,13.87,8.39,2.54,2.05,2.52,0.43,0.6,0.37
ZNF644,ENST00000370440,8.19,8.91,5.81,2.56,2.44,3.31,0.43,0.47,0.28
PLA2G4A,ENST00000367466,8.19,29.39,16.64,2.56,1.1,1.71,0.43,1.37,0.7
CMIP,ENST00000537098,8.2,2.95,3.01,2.56,3.49,3.97,0.43,0.29,0.24
LRRC8C,ENST00000370454,8.2,32.82,18.45,2.56,0.84,1.62,0.43,1.44,0.81
SRRM1,ENST00000323848,8.21,2.89,2.97,2.56,3.5,3.99,0.43,0.29,0.23
RING1,ENST00000374656,8.21,23.54,13.48,2.56,1.39,2.06,0.43,0.93,0.57
CMTR1,ENST00000373451,8.22,10.86,6.91,2.56,2.11,2.88,0.43,0.5,0.33
GAD1,ENST00000358196,8.22,22.59,12.99,2.56,1.47,2.09,0.43,0.86,0.52
RUNX1T1,ENST00000436581,8.23,13.61,8.27,2.54,2.05,2.57,0.43,0.59,0.37
EEF2,ENST00000309311,8.23,4.11,3.59,2.54,3.25,3.85,0.43,0.32,0.24
SON,ENST00000356577,8.24,1.07,2.34,2.54,4.04,4.03,0.43,0.28,0.23
KIF5C,ENST00000435030,8.24,0.84,2.21,2.54,4.08,4.08,0.43,0.28,0.23
VAV1,ENST00000602142,8.25,7.77,5.27,2.54,2.54,3.54,0.43,0.43,0.25
CRS1,ENST00000357123,8.25,23.65,13.58,2.54,1.4,2.04,0.43,0.93,0.57
FOXN3,ENST00000345097,8.26,16.52,9.94,2.54,1.78,2.29,0.43,0.69,0.42
YWHAQ,ENST00000381844,8.26,27.35,15.65,2.54,1.25,1.76,0.43,1.17,0.67
TMEM229B,ENST00000357461,8.27,59.67,32.17,2.54,0.52,0.91,0.43,1.39,1.6
OTUD7A,ENST00000307050,8.27,11.31,7.17,2.54,2.11,2.86,0.43,0.56,0.33
JARID2,ENST00000341776,8.28,4.91,3.92,2.54,3.26,3.76,0.43,0.31,0.23
PRPS2,ENST00000398491,8.28,14.82,8.94,2.54,1.92,2.48,0.43,0.62,0.38
PTGER3,ENST00000356595,8.29,29.44,16.71,2.54,1.09,1.68,0.43,1.38,0.7
SRSF9,ENST00000229390,8.3,26.69,15.25,2.54,1.19,1.83,0.44,1.12,0.65
BPTF,ENST00000306378,8.3,1.01,2.35,2.54,4.06,4.03,0.44,0.28,0.23
RALBP1,ENST00000019317,8.31,21.79,12.61,2.54,1.46,2.2,0.44,0.81,0.52
DLX2,ENST00000234198,8.31,8.96,5.88,2.54,2.44,3.3,0.44,0.47,0.29
APH1A,ENST00000369109,8.32,23.64,13.62,2.54,1.39,2.01,0.44,0.93,0.57
SMARCC1,ENST00000254480,8.32,1.69,2.56,2.54,3.84,4,0.44,0.25,0.23
PRPF39,ENST00000355765,8.33,8.29,5.6,2.54,2.54,3.39,0.44,0.45,0.27
RIMKLB,ENST00000357529,8.33,23.66,13.66,2.54,1.4,2.02,0.44,0.93,0.57
TRIM27,ENST00000377199,8.34,8.2,5.59,2.54,2.57,3.4,0.44,0.45,0.27
ZFAND5,ENST00000237937,8.34,21.72,12.57,2.54,1.46,2.21,0.44,0.81,0.52
POLR2G,ENST00000301788,8.35,74.98,40,2.54,0.53,0.82,0.44,0.93,1.99
CIT,ENST00000392521,8.35,10.06,6.55,2.53,2.34,3.01,0.44,0.49,0.32
KIAA1239,ENST00000309447,8.36,11.41,7.25,2.53,2.1,2.8,0.44,0.56,0.33
SAT1,ENST00000379270,8.36,22.48,13,2.53,1.51,2.09,0.44,0.83,0.52
NFYC,ENST00000425457,8.37,21.01,12.27,2.53,1.44,2.25,0.44,0.83,0.5
S1PR1,ENST00000305352,8.37,27.95,15.99,2.53,1.19,1.76,0.44,1.19,0.66
NPAS3,ENST00000356141,8.38,6.27,4.66,2.53,2.72,3.68,0.44,0.36,0.25
UBR4,ENST00000375254,8.38,1.02,2.38,2.53,4.06,4.05,0.44,0.28,0.23
ERBB2,ENST00000269571,8.39,19.68,11.66,2.53,1.43,2.21,0.44,0.74,0.47
YH9,ENST00000216181,8.39,0.74,2.25,2.53,4.12,4.07,0.44,0.27,0.23
FOXO3,ENST00000406360,8.4,4.13,3.65,2.53,3.26,3.84,0.44,0.32,0.23
TNRC6B,ENST00000454349,8.4,3.43,3.36,2.53,3.41,3.89,0.44,0.29,0.23
SAP30,ENST00000296504,8.41,40.45,22.61,2.53,0.62,1.18,0.44,1.77,0.96
DCUN1D3,ENST00000324344,8.41,19.98,11.82,2.53,1.46,2.21,0.44,0.73,0.46
DDX21,ENST00000354185,8.42,4.9,3.98,2.52,3.26,3.76,0.44,0.31,0.23
TCERG1,ENST00000296702,8.42,7.22,5.08,2.51,2.59,3.64,0.44,0.37,0.25
GID8,ENST00000266069,8.43,6.89,4.92,2.51,2.62,3.69,0.44,0.37,0.25
ZBTB43,ENST00000373464,8.43,6.88,4.93,2.51,2.62,3.69,0.44,0.37,0.25
FAM199X,ENST00000493442,8.44,28.5,16.27,2.51,1.15,1.7,0.44,1.25,0.65
TRPC6,ENST00000344327,8.44,34.23,19.35,2.49,0.84,1.54,0.44,1.56,0.85
TMR4,ENST00000323456,8.45,9.08,6.06,2.49,2.44,3.29,0.44,0.47,0.3
SLC9A5,ENST00000299798,8.46,35.51,20.02,2.49,0.77,1.49,0.44,1.57,0.85
IP6K1,ENST00000321599,8.46,16.09,9.8,2.49,1.82,2.29,0.44,0.69,0.4
ARL4D,ENST00000320033,8.47,65.57,35.2,2.49,0.53,0.86,0.44,1.22,1.75
GPCPD1,ENST00000379019,8.47,20.28,11.98,2.49,1.44,2.28,0.44,0.75,0.47
TFAP2A,ENST00000379604,8.48,9.61,6.36,2.48,2.48,3.09,0.44,0.5,0.32
JHDM1D,ENST00000397560,8.48,7.82,5.49,2.48,2.54,3.43,0.44,0.44,0.26
INHBA,ENST00000242208,8.49,9.15,6.08,2.48,2.48,3.28,0.44,0.47,0.3
SARNP,ENST00000336133,8.49,5.45,4.25,2.48,3.04,3.75,0.44,0.33,0.24
LARP1,ENST00000336314,8.5,2.47,2.88,2.47,3.58,4.02,0.44,0.29,0.23
CSDE1,ENST00000438362,8.5,2.97,3.17,2.47,3.48,3.91,0.44,0.28,0.24
KCNMB4,ENST00000258111,8.51,14.39,8.8,2.47,2.05,2.49,0.44,0.61,0.38
IQSEC2,ENST00000396435,8.51,2.46,2.89,2.45,3.58,4.01,0.44,0.29,0.23
SEPT9,ENST00000427177,8.52,8.82,5.95,2.45,2.47,3.28,0.44,0.47,0.29
KBTBD2,ENST00000304056,8.52,7.55,5.33,2.45,2.51,3.54,0.44,0.42,0.25
EIF4G3,ENST00000602326,8.53,1.54,2.58,2.45,3.89,4.01,0.44,0.26,0.23
CHRM3,ENST00000255380,8.53,9.89,6.56,2.45,2.35,3.01,0.44,0.5,0.32
HEXIM1,ENST00000332499,8.54,8,5.58,2.44,2.54,3.4,0.44,0.44,0.27
BNC2,ENST00000380672,8.54,14.84,9.06,2.44,1.92,2.39,0.44,0.62,0.38
CPNE4,ENST00000512055,8.55,20.92,12.33,2.44,1.43,2.25,0.44,0.83,0.5
DCUN1D5,ENST00000260247,8.55,5.44,4.28,2.44,3.04,3.75,0.44,0.33,0.24
DIP2C,ENST00000280886,8.56,2.98,3.21,2.45,3.48,3.9,0.44,0.28,0.24
BACH2,ENST00000257749,8.56,7.53,5.35,2.45,2.52,3.54,0.44,0.4,0.25
FUT8,ENST00000360689,8.57,25.68,14.92,2.44,1.24,1.91,0.44,1.05,0.63
CDC20,ENST00000372462,8.57,45.53,25.13,2.44,0.72,1.05,0.44,1.99,1.16
CCT2,ENST00000299300,8.58,7.33,5.22,2.44,2.56,3.56,0.43,0.37,0.26
LIN54,ENST00000340417,8.58,3.93,3.63,2.44,3.29,3.84,0.43,0.32,0.23
DMTF1,ENST00000394703,8.59,14.21,8.76,2.44,2.06,2.49,0.43,0.6,0.37
ARK1,ENST00000366917,8.59,16.13,9.91,2.44,1.82,2.3,0.43,0.69,0.41
DCTN5,ENST00000300087,8.6,55.83,30.41,2.43,0.52,0.8,0.43,1.58,1.46
TA2,ENST00000278823,8.6,14.79,9.08,2.43,1.95,2.37,0.43,0.62,0.38
CAMTA1,ENST00000303635,8.61,3.25,3.37,2.43,3.45,3.89,0.43,0.28,0.23
DDA1,ENST00000359866,8.62,19.32,11.62,2.43,1.47,2.23,0.43,0.75,0.46
PRDM2,ENST00000235372,8.62,7.92,5.58,2.43,2.53,3.4,0.44,0.44,0.27
BCL2L1,ENST00000307677,8.63,14.76,9.07,2.43,1.96,2.38,0.44,0.62,0.38
CAD,ENST00000264705,8.63,8.64,5.88,2.43,2.49,3.3,0.44,0.47,0.29
UBE2G2,ENST00000345496,8.64,46.06,25.42,2.43,0.76,1.04,0.44,2.04,1.17
CDK12,ENST00000447079,8.64,2.09,2.79,2.43,3.7,4.03,0.44,0.28,0.23
KCNIP2,ENST00000461105,8.65,37.88,21.39,2.42,0.8,1.34,0.44,1.7,0.91
C7orf60,ENST00000297145,8.65,4.14,3.75,2.42,3.25,3.79,0.44,0.32,0.24
RBBP6,ENST00000319715,8.66,0.58,2.29,2.42,4.15,4.05,0.44,0.28,0.23
TGFB2,ENST00000366929,8.66,2.89,3.23,2.42,3.5,3.89,0.44,0.29,0.24
VDAC1,ENST00000265333,8.67,13.22,8.3,2.42,2.05,2.58,0.44,0.6,0.37
DLL4,ENST00000249749,8.67,2.57,3.05,2.42,3.55,3.95,0.44,0.29,0.24
ETV1,ENST00000430479,8.68,17.02,10.4,2.42,1.62,2.19,0.44,0.73,0.43
UPF3B,ENST00000276201,8.68,7.37,5.33,2.42,2.56,3.54,0.44,0.37,0.25
PRKAG1,ENST00000316299,8.69,42.06,23.49,2.42,0.61,1.18,0.44,1.85,1
HIPK1,ENST00000369558,8.69,1.91,2.76,2.42,3.75,4.04,0.44,0.26,0.23
ZBTB12,ENST00000375527,8.7,13.36,8.4,2.42,2.05,2.52,0.44,0.6,0.38
APRE3,ENST00000233121,8.7,24.59,14.36,2.42,1.3,2.01,0.44,1.05,0.59
ILF3,ENST00000449870,8.71,1.13,2.51,2.42,4.01,4.01,0.44,0.28,0.24
TSPAN5,ENST00000305798,8.71,18.97,11.5,2.42,1.52,2.19,0.44,0.76,0.45
YME1L1,ENST00000326799,8.72,21.81,12.8,2.42,1.47,2.11,0.44,0.81,0.52
AP4K4,ENST00000347699,8.72,4.28,3.85,2.42,3.25,3.76,0.44,0.32,0.24
UBQLN1,ENST00000376395,8.73,6.94,5.09,2.42,2.59,3.64,0.44,0.37,0.25
RAE1,ENST00000395841,8.73,5.5,4.39,2.42,3.02,3.72,0.44,0.33,0.24
GABRA4,ENST00000264318,8.74,15.97,9.9,2.4,1.87,2.3,0.44,0.68,0.41
OSBPL8,ENST00000261183,8.74,20.05,11.99,2.4,1.43,2.28,0.44,0.74,0.47
SHANK3,ENST00000262795,8.75,2.01,2.81,2.4,3.72,4.04,0.44,0.28,0.23
GRM5,ENST00000418177,8.75,9.56,6.49,2.4,2.49,3.05,0.44,0.49,0.32
EP300,ENST00000263253,8.76,0.75,2.42,2.42,4.11,4.02,0.44,0.27,0.23
ZC3H11A,ENST00000545588,8.77,4.82,4.09,2.42,3.29,3.75,0.44,0.31,0.23
RGL2,ENST00000497454,8.77,22.15,13.04,2.42,1.52,2.09,0.45,0.82,0.52
FGFR2,ENST00000457416,8.78,10.29,6.89,2.42,2.26,2.9,0.45,0.49,0.33
VMP1,ENST00000262291,8.78,13.99,8.72,2.42,2.06,2.51,0.45,0.6,0.37
NPAS2,ENST00000335681,8.79,2.45,3.05,2.42,3.59,3.95,0.45,0.29,0.24
ARRB2,ENST00000412477,8.79,22.58,13.31,2.42,1.47,2.05,0.45,0.85,0.54
DNAJC7,ENST00000457167,8.8,12.06,7.77,2.42,2.06,2.66,0.45,0.57,0.33
FGFR1,ENST00000425967,8.8,7.48,5.47,2.42,2.54,3.43,0.45,0.4,0.26
ZNF521,ENST00000361524,8.81,1.04,2.52,2.42,4.06,4.01,0.45,0.28,0.24
PDE4B,ENST00000329654,8.81,18.91,11.52,2.42,1.52,2.2,0.45,0.76,0.45
YH10,ENST00000360416,8.82,2.91,3.31,2.4,3.49,3.9,0.45,0.29,0.24
ADAMTS6,ENST00000381055,8.82,5.89,4.7,2.4,2.82,3.68,0.45,0.35,0.25
GLUD1,ENST00000277865,8.83,31.48,18.12,2.4,0.96,1.67,0.45,1.43,0.78
DNAJB5,ENST00000453597,8.83,34.11,19.48,2.4,0.84,1.53,0.45,1.53,0.84
ED31,ENST00000225728,8.84,69.7,37.52,2.4,0.53,0.84,0.45,1.12,2.01
DNAJC8,ENST00000263697,8.84,30.62,17.6,2.4,1.06,1.64,0.45,1.39,0.77
HNF4A,ENST00000316099,8.85,25.18,14.78,2.39,1.32,1.96,0.45,1.02,0.62
PPARG,ENST00000287820,8.85,28.69,16.61,2.38,1.16,1.72,0.45,1.29,0.7
PPIG,ENST00000260970,8.86,13.66,8.59,2.38,2.05,2.53,0.45,0.59,0.36
HBP1,ENST00000222574,8.86,27.71,16.09,2.38,1.27,1.7,0.45,1.18,0.66
RPS27,ENST00000368567,8.87,32.54,18.72,2.38,0.86,1.57,0.45,1.49,0.81
FAM120A,ENST00000277165,8.87,2.36,3.04,2.38,3.63,3.95,0.45,0.29,0.24
AST3,ENST00000262811,8.88,7.32,5.42,2.38,2.54,3.47,0.45,0.37,0.26
THAP1,ENST00000254250,8.88,23.49,13.87,2.38,1.42,2.1,0.45,0.92,0.59
YTHDF2,ENST00000373812,8.89,2.65,3.19,2.38,3.54,3.89,0.45,0.29,0.24
CDK7,ENST00000256443,8.89,52.32,28.73,2.37,0.62,0.8,0.45,1.82,1.34
NR3C2,ENST00000358102,8.9,15.82,9.92,2.37,1.89,2.29,0.45,0.68,0.41
KMT2C,ENST00000262189,8.9,1.63,2.73,2.35,3.86,4.01,0.45,0.26,0.23
NOS1AP,ENST00000361897,8.91,20.09,12.07,2.35,1.43,2.29,0.45,0.74,0.48
CDK13,ENST00000181839,8.91,12.83,8.2,2.35,2.09,2.57,0.45,0.59,0.37
SNRNP27,ENST00000244227,8.92,59.88,32.61,2.35,0.53,0.87,0.45,1.36,1.63
PRKCI,ENST00000295797,8.93,19.45,11.8,2.35,1.44,2.21,0.45,0.74,0.46
RPL24,ENST00000394077,8.93,25.99,15.23,2.35,1.2,1.83,0.45,1.1,0.65
CHERP,ENST00000546361,8.94,0.32,2.31,2.35,4.14,4.03,0.45,0.28,0.22
ADCY1,ENST00000297323,8.94,10.57,7.11,2.35,2.15,2.87,0.45,0.52,0.33
FUS,ENST00000254108,8.95,7.63,5.6,2.35,2.49,3.39,0.45,0.42,0.27
ED15,ENST00000263205,8.95,8.76,6.12,2.35,2.47,3.24,0.45,0.48,0.3
RGS8,ENST00000258302,8.96,32.05,18.44,2.34,0.92,1.62,0.45,1.47,0.81
SMURF2,ENST00000262435,8.96,14.5,9.18,2.34,2.02,2.32,0.45,0.61,0.38
BTBD3,ENST00000405977,8.97,24.2,14.29,2.34,1.33,2.01,0.45,0.99,0.6
RAB12,ENST00000329286,8.97,37.03,21.14,2.33,0.77,1.42,0.45,1.68,0.9
STK24,ENST00000376547,8.98,23.93,14.18,2.33,1.38,1.99,0.45,0.95,0.6
POT1,ENST00000357628,8.98,16.65,10.4,2.33,1.73,2.19,0.46,0.71,0.43
UBQLN4,ENST00000368309,8.99,13.36,8.52,2.33,2.04,2.51,0.46,0.6,0.37
DTX3,ENST00000548198,8.99,19.9,12.03,2.33,1.43,2.29,0.46,0.73,0.47
ATRNL1,ENST00000355044,9,10.03,6.87,2.33,2.35,2.92,0.46,0.49,0.33
C7orf55-LUC7L2,ENST00000354926,9,25.58,15.09,2.33,1.25,1.86,0.46,1.05,0.62
CDC40,ENST00000368932,9.01,12.75,8.24,2.33,2.09,2.58,0.46,0.59,0.37
AFG3L2,ENST00000269143,9.01,36.24,20.79,2.33,0.82,1.47,0.46,1.61,0.88
ASAP1,ENST00000357668,9.02,5.36,4.47,2.33,3.07,3.7,0.46,0.32,0.25
SOGA3,ENST00000556132,9.02,15.55,9.82,2.33,1.87,2.29,0.46,0.67,0.4
UBP1,ENST00000283629,9.03,0.74,2.49,2.33,4.1,4.02,0.46,0.27,0.24
ATG5,ENST00000369076,9.03,12.91,8.34,2.33,2.07,2.53,0.46,0.59,0.37
TBC1D25,ENST00000376771,9.04,25.28,14.92,2.33,1.29,1.91,0.46,1.02,0.63
FLOT1,ENST00000376389,9.04,48.37,26.91,2.33,0.63,0.99,0.46,2,1.27
UGDH,ENST00000316423,9.05,38.06,21.69,2.33,0.77,1.25,0.46,1.7,0.92
TRIP13,ENST00000166345,9.05,8.99,6.33,2.33,2.45,3.09,0.46,0.47,0.32
SIN3B,ENST00000379803,9.06,3.95,3.85,2.33,3.28,3.76,0.46,0.32,0.24
SCAMP5,ENST00000361900,9.06,26.89,15.8,2.32,1.23,1.77,0.46,1.12,0.66
HIRA,ENST00000263208,9.07,2.4,3.17,2.3,3.61,3.9,0.46,0.29,0.24
LHX9,ENST00000367387,9.07,10.99,7.4,2.3,2.09,2.8,0.46,0.52,0.34
ABCD2,ENST00000308666,9.08,37.26,21.26,2.3,0.76,1.39,0.46,1.66,0.9
RILPL2,ENST00000280571,9.09,53.64,29.55,2.3,0.63,0.84,0.46,1.7,1.38
PRKRA,ENST00000325748,9.09,28.18,16.45,2.3,1.18,1.72,0.46,1.21,0.69
FAU,ENST00000529639,9.1,23.2,13.79,2.3,1.43,2.07,0.47,0.91,0.57
GABARAP,ENST00000302386,9.1,43.78,24.55,2.3,0.61,1.06,0.47,1.96,1.09
PTDSS1,ENST00000517309,9.11,22.4,13.36,2.3,1.51,2.04,0.47,0.82,0.55
RHOT1,ENST00000358365,9.11,15.73,9.98,2.3,1.87,2.25,0.46,0.69,0.42
TSC22D1,ENST00000458659,9.12,13.68,8.74,2.3,2.06,2.49,0.46,0.59,0.37
RGS7,ENST00000366565,9.12,15.2,9.64,2.3,1.89,2.26,0.46,0.67,0.4
DDX39A,ENST00000242776,9.13,21.7,13.02,2.3,1.46,2.09,0.46,0.81,0.52
FBXL14,ENST00000339235,9.13,22.68,13.53,2.3,1.46,2.05,0.46,0.88,0.57
HRH3,ENST00000340177,9.14,37.57,21.49,2.3,0.8,1.3,0.46,1.68,0.91
DCTN2,ENST00000434715,9.14,8.54,6.11,2.3,2.52,3.26,0.46,0.47,0.3
ZDHHC14,ENST00000359775,9.15,16.49,10.36,2.3,1.78,2.19,0.46,0.69,0.43
ARMC8,ENST00000481646,9.15,4,3.92,2.29,3.26,3.76,0.46,0.32,0.23
GJC1,ENST00000426548,9.16,8.22,5.96,2.28,2.58,3.26,0.46,0.45,0.29
KDM6B,ENST00000254846,9.16,2.79,3.42,2.28,3.53,3.86,0.47,0.28,0.23
PSMD2,ENST00000310118,9.17,1.16,2.65,2.28,4.01,4,0.47,0.28,0.23
HAS3,ENST00000306560,9.17,17.75,11.11,2.28,1.53,2.19,0.47,0.72,0.45
SENP1,ENST00000004980,9.18,9.25,6.56,2.28,2.47,3.01,0.47,0.47,0.32
PRPSAP2,ENST00000268835,9.18,41.8,23.59,2.28,0.61,1.19,0.47,1.78,1.02
TRAM1,ENST00000262213,9.19,16.2,10.25,2.29,1.81,2.21,0.47,0.7,0.42
TLN1,ENST00000314888,9.19,1.86,2.91,2.29,3.76,4,0.47,0.26,0.23
SARS,ENST00000234677,9.2,6.72,5.22,2.29,2.67,3.56,0.47,0.37,0.26
SKI,ENST00000378536,9.2,6.04,4.89,2.29,2.81,3.66,0.47,0.35,0.25
ADIPOR1,ENST00000340990,9.21,23.43,14,2.29,1.42,2.05,0.47,0.92,0.6
PHF13,ENST00000377648,9.21,9.82,6.88,2.29,2.39,2.91,0.47,0.49,0.33
PITPNB,ENST00000335272,9.22,11.1,7.53,2.29,2.09,2.77,0.47,0.53,0.33
UBA52,ENST00000442744,9.22,33.69,19.45,2.3,0.84,1.53,0.47,1.56,0.84
SETD2,ENST00000409792,9.23,5.31,4.6,2.3,3.1,3.69,0.47,0.32,0.25
FZR1,ENST00000395095,9.24,3.96,3.93,2.3,3.28,3.77,0.47,0.32,0.23
RPS20,ENST00000519807,9.24,53.6,29.59,2.3,0.62,0.84,0.47,1.72,1.39
LRRTM3,ENST00000361320,9.25,12.76,8.37,2.3,2.09,2.52,0.47,0.59,0.37
EIF3G,ENST00000253108,9.25,11.05,7.52,2.3,2.1,2.77,0.47,0.52,0.33
IKZF1,ENST00000439701,9.26,3.28,3.65,2.29,3.44,3.83,0.47,0.27,0.23
PAFAH1B3,ENST00000538771,9.26,52.4,29,2.29,0.62,0.81,0.47,1.83,1.31
SYN1,ENST00000295987,9.27,10,6.99,2.28,2.35,2.9,0.47,0.49,0.33
PPP1R8,ENST00000311772,9.27,8.07,5.94,2.26,2.52,3.28,0.47,0.44,0.29
RBM3,ENST00000376759,9.28,26.27,15.59,2.25,1.19,1.77,0.47,1.08,0.66
BRPF3,ENST00000357641,9.28,4.62,4.23,2.24,3.25,3.76,0.47,0.31,0.24
TBX4,ENST00000240335,9.29,21.13,12.76,2.24,1.47,2.13,0.47,0.82,0.52
RTN4RL2,ENST00000335099,9.29,19.79,12.09,2.24,1.42,2.29,0.47,0.74,0.48
DACH1,ENST00000305425,9.3,2.41,3.29,2.24,3.6,3.89,0.47,0.29,0.24
TERF2,ENST00000603068,9.3,11.25,7.62,2.24,2.13,2.72,0.47,0.55,0.33
ARL4C,ENST00000390645,9.31,31.53,18.35,2.24,0.96,1.66,0.47,1.42,0.8
WEE1,ENST00000450114,9.31,4.15,4.04,2.24,3.25,3.75,0.47,0.32,0.23
PTP4A1,ENST00000370651,9.32,42.28,23.84,2.24,0.61,1.09,0.47,1.89,1.04
SCD,ENST00000370355,9.32,14.48,9.36,2.24,2.04,2.32,0.47,0.61,0.39
AFF4,ENST00000265343,9.33,2.39,3.3,2.24,3.61,3.91,0.47,0.29,0.24
TPM2,ENST00000378292,9.33,44.48,24.95,2.24,0.63,1.02,0.47,1.99,1.13
TRIAP1,ENST00000546954,9.34,82.01,44.1,2.24,0.35,0.61,0.47,0.5,2.04
AES,ENST00000221561,9.34,16.27,10.37,2.24,1.78,2.19,0.47,0.69,0.43
THAP4,ENST00000407315,9.35,24.69,14.79,2.24,1.29,1.95,0.47,1.05,0.62
PHF23,ENST00000320316,9.35,3.69,3.87,2.24,3.33,3.75,0.47,0.3,0.23
CLPTM1,ENST00000337392,9.36,15.09,9.72,2.24,1.91,2.28,0.47,0.65,0.4
POU4F1,ENST00000377208,9.36,20.99,12.72,2.24,1.44,2.16,0.47,0.83,0.52
INK1,ENST00000355280,9.37,2.3,3.28,2.24,3.64,3.9,0.47,0.29,0.24
OSR2,ENST00000297565,9.37,41.76,23.67,2.24,0.61,1.16,0.47,1.79,1.02
RAB5C,ENST00000547517,9.38,16.53,10.54,2.23,1.78,2.19,0.47,0.69,0.43
LRRTM2,ENST00000274711,9.38,15.56,10.04,2.23,1.87,2.26,0.47,0.67,0.42
CACTIN,ENST00000429344,9.39,2.51,3.4,2.23,3.56,3.87,0.47,0.29,0.23
DYRK1B,ENST00000593685,9.4,10.26,7.19,2.23,2.28,2.85,0.47,0.5,0.34
CLVS2,ENST00000275162,9.4,52.44,29.08,2.21,0.65,0.84,0.47,1.84,1.32
CKAP5,ENST00000529230,9.41,3.12,3.64,2.21,3.44,3.84,0.47,0.28,0.23
SCAI,ENST00000373549,9.41,8.57,6.29,2.21,2.51,3.14,0.47,0.47,0.32
HNRNPUL1,ENST00000392006,9.42,5.23,4.66,2.21,3.15,3.68,0.47,0.32,0.25
CNN3,ENST00000370206,9.42,23.91,14.38,2.2,1.39,2.01,0.47,0.95,0.59
SIX2,ENST00000303077,9.43,15.32,9.92,2.19,1.9,2.29,0.47,0.67,0.42
GTF3C2,ENST00000359541,9.43,11.64,7.88,2.19,2.09,2.62,0.47,0.57,0.35
SMAD1,ENST00000515385,9.44,10.09,7.14,2.19,2.33,2.87,0.47,0.49,0.33
TTLL7,ENST00000260505,9.44,19.12,11.87,2.19,1.49,2.24,0.47,0.76,0.46
CA10,ENST00000451037,9.45,23.28,14.07,2.19,1.43,2.04,0.47,0.93,0.6
FST,ENST00000256759,9.45,11.57,7.87,2.19,2.1,2.63,0.46,0.57,0.35
AKT2,ENST00000392038,9.46,20.35,12.46,2.19,1.44,2.23,0.46,0.75,0.5
TMEM203,ENST00000343666,9.46,48.2,27.01,2.2,0.63,1,0.45,1.99,1.29
DGCR8,ENST00000351989,9.47,6.58,5.29,2.19,2.63,3.56,0.45,0.37,0.25
RPS21,ENST00000343986,9.47,57.99,31.94,2.19,0.56,0.91,0.45,1.44,1.57
LHX1,ENST00000254457,9.48,27.93,16.53,2.18,1.2,1.71,0.45,1.19,0.69
INPP5D,ENST00000359570,9.48,13.15,8.66,2.18,2.06,2.52,0.45,0.6,0.36
LPCAT3,ENST00000261407,9.49,11.76,8,2.16,2.09,2.59,0.45,0.57,0.37
AP3K7,ENST00000369329,9.49,4.17,4.12,2.16,3.26,3.77,0.46,0.32,0.24
COPA,ENST00000368069,9.5,0.73,2.61,2.16,4.09,4.01,0.46,0.28,0.23
EIF3I,ENST00000373586,9.5,15.53,10.08,2.16,1.87,2.26,0.46,0.67,0.42
NOSIP,ENST00000391853,9.51,58.85,32.38,2.16,0.54,0.91,0.46,1.41,1.61
RNF20,ENST00000389120,9.51,31.9,18.71,2.16,0.94,1.57,0.47,1.48,0.81
